Stock_Price,Strike_Price,Time_to_Expiry,Volatility,Call_Price,Put_Price
90,100,0.25,0.1,0.0566,8.8143
90,100,0.25,0.2,0.8998,9.6576
90,100,0.25,0.3,2.3269,11.0847
90,100,0.5,0.1,0.4175,7.9485
90,100,0.5,0.2,2.3624,9.8934
90,100,0.5,0.3,4.7274,12.2584
90,100,1.0,0.1,1.6753,6.7982
90,100,1.0,0.2,5.0813,10.2042
90,100,1.0,0.3,8.6793,13.8022
100,100,0.25,0.1,2.6547,1.4124
100,100,0.25,0.2,4.5951,3.3529
100,100,0.25,0.3,6.5534,5.3111
100,100,0.5,0.1,4.1776,1.7086
100,100,0.5,0.2,6.8605,4.3915
100,100,0.5,0.3,9.593,7.124
100,100,1.0,0.1,6.7836,1.9065
100,100,1.0,0.2,10.4107,5.5336
100,100,1.0,0.3,14.1725,9.2954
110,100,0.25,0.1,11.2708,0.0285
110,100,0.25,0.2,11.995,0.7528
110,100,0.25,0.3,13.4104,2.1682
110,100,0.5,0.1,12.6029,0.1339
110,100,0.5,0.2,14.0906,1.6216
110,100,0.5,0.3,16.3992,3.9301
110,100,1.0,0.1,15.2141,0.337
110,100,1.0,0.2,17.6851,2.808
110,100,1.0,0.3,21.0504,6.1733
