Stock_Price,Strike_Price,Time_to_Expiry,Volatility,Call_Price,Put_Price
90,100,0.25,0.1,0.0582,8.816
90,100,0.25,0.2,0.8975,9.6553
90,100,0.25,0.3,2.3087,11.0664
90,100,0.5,0.1,0.4226,7.9536
90,100,0.5,0.2,2.3494,9.8804
90,100,0.5,0.3,4.714,12.245
90,100,1.0,0.1,1.6806,6.8036
90,100,1.0,0.2,5.0912,10.2142
90,100,1.0,0.3,8.6611,13.784
100,100,0.25,0.1,2.6648,1.4226
100,100,0.25,0.2,4.615,3.3728
100,100,0.25,0.3,6.5831,5.3409
100,100,0.5,0.1,4.1923,1.7233
100,100,0.5,0.2,6.8887,4.4197
100,100,0.5,0.3,9.6349,7.1659
100,100,1.0,0.1,6.805,1.9279
100,100,1.0,0.2,10.4506,5.5735
100,100,1.0,0.3,14.2313,9.3542
110,100,0.25,0.1,11.271,0.0288
110,100,0.25,0.2,11.9883,0.7461
110,100,0.25,0.3,13.4025,2.1603
110,100,0.5,0.1,12.6024,0.1334
110,100,0.5,0.2,14.0754,1.6064
110,100,0.5,0.3,16.3655,3.8964
110,100,1.0,0.1,15.2101,0.333
110,100,1.0,0.2,17.663,2.7859
110,100,1.0,0.3,21.061,6.184
