Stock_Price,Strike_Price,Time_to_Expiry,Volatility,Call_Price,Put_Price
90,100,0.25,0.1,0.0601,8.8267
90,100,0.25,0.2,0.907,9.6809
90,100,0.25,0.3,2.3198,11.0993
90,100,0.5,0.1,0.4273,7.9704
90,100,0.5,0.2,2.3587,9.9106
90,100,0.5,0.3,4.724,12.2814
90,100,1.0,0.1,1.6861,6.8251
90,100,1.0,0.2,5.097,10.2456
90,100,1.0,0.3,8.6728,13.8242
100,100,0.25,0.1,2.663,1.4306
100,100,0.25,0.2,4.6133,3.389
100,100,0.25,0.3,6.582,5.3639
100,100,0.5,0.1,4.1895,1.7339
100,100,0.5,0.2,6.8874,4.4417
100,100,0.5,0.3,9.6354,7.1957
100,100,1.0,0.1,6.8004,1.9412
100,100,1.0,0.2,10.4502,5.6017
100,100,1.0,0.3,14.2369,9.3914
110,100,0.25,0.1,11.2612,0.0298
110,100,0.25,0.2,11.9778,0.7553
110,100,0.25,0.3,13.3942,2.1786
110,100,0.5,0.1,12.5918,0.1375
110,100,0.5,0.2,14.0655,1.622
110,100,0.5,0.3,16.3588,3.9221
110,100,1.0,0.1,15.1966,0.3393
110,100,1.0,0.2,17.6535,2.8079
110,100,1.0,0.3,21.0611,6.2188
